gene_id,sf1,sf2,sf3,sl1,sl2,sl3
PEQU_13648,0,0,4,0,4,0
PEQU_13649,491,842,373,443,611,533
PEQU_21580,16,39,0,21,26,29
PEQU_21581,2569,4768,3639,45994,24830,29763
PEQU_21582,1427,1791,1038,1579,1378,1168
PEQU_21583,0,0,0,0,0,13
PEQU_21584,2963,3366,2120,3592,3372,3254
PEQU_21585,12,17,6,0,10,3
PEQU_21586,1805,2643,1860,4311,4117,2980
PEQU_21587,818,1328,975,2062,2278,1831
PEQU_21588,1553,1896,1425,3087,3308,2726
PEQU_13394,1286,1162,923,1620,1852,1491
PEQU_13395,7,5,17,13,16,45
PEQU_13396,378,584,552,754,622,847
PEQU_13390,308,631,486,168,254,188
PEQU_13392,597,567,382,519,490,375
PEQU_13393,253,488,256,133,242,169
PEQU_13398,2533,3477,2459,5746,5775,5230
PEQU_13399,742,686,611,399,464,340
PEQU_20180,788,1206,926,1207,1124,1114
PEQU_15561,2950,3859,2328,1932,2956,2574
PEQU_15560,281,198,154,28,23,24
PEQU_15563,29,75,64,83,55,71
PEQU_15567,116,197,141,673,748,870
PEQU_15566,62,105,36,0,0,0
PEQU_15569,0,0,0,0,0,0
PEQU_15568,199,319,229,282,324,308
PEQU_42204,57,56,70,23,51,31
PEQU_42205,1236,752,1028,924,1164,768
PEQU_07616,199,88,57,25,4,16
PEQU_42207,2,2,2,2,1,6
PEQU_07610,0,4,7,7,6,0
PEQU_42201,24,9,14,106,119,76
PEQU_07613,10343,11304,7209,7015,9067,8028
PEQU_24560,0,0,0,0,0,0
PEQU_12938,436,746,323,43,28,37
PEQU_12937,0,0,0,0,0,0
PEQU_38047,0,0,0,0,0,0
PEQU_12935,223,349,390,601,894,742
PEQU_12934,0,0,0,0,0,0
PEQU_12933,0,0,0,0,0,0
PEQU_12932,0,4,6,10,0,6
PEQU_12931,59,97,107,109,149,135
PEQU_42209,0,5,3,0,0,3
PEQU_24566,0,0,0,0,0,0
PEQU_40454,20,15,7,11,12,5
PEQU_30218,67,51,81,123,167,193
PEQU_33092,10,19,30,12,12,17
PEQU_33270,0,0,0,0,0,0
PEQU_27322,318,117,258,0,4,63
PEQU_27323,2,0,0,0,0,0
PEQU_27320,0,0,0,0,0,0
PEQU_27321,0,0,0,4,3,0
PEQU_24668,39,36,22,54,43,27
PEQU_24669,2565,4017,2223,3426,3644,2998
PEQU_26747,4,0,10,12,23,28
PEQU_26745,7,0,0,0,0,0
PEQU_16138,0,0,0,0,0,0
PEQU_26743,0,0,14,5,8,2
PEQU_26742,0,0,0,0,0,0
PEQU_26741,0,0,0,0,0,0
PEQU_26740,0,13,5,0,0,0
PEQU_16131,0,0,0,0,0,0
PEQU_16137,0,0,0,4,0,11
PEQU_26749,53,187,165,78,112,126
PEQU_26748,25,21,30,81,37,88
PEQU_27914,0,0,0,0,0,11
PEQU_30758,0,0,0,0,0,0
PEQU_30753,0,0,0,0,0,0
PEQU_30752,0,0,0,0,0,0
PEQU_30750,12,0,0,41,75,53
PEQU_30756,95,231,155,243,230,186
PEQU_34449,18,20,8,0,0,0
PEQU_34448,0,0,0,4,4,12
PEQU_34443,0,0,0,0,0,0
PEQU_20960,0,0,0,0,0,0
PEQU_20963,602,753,405,796,794,749
PEQU_20962,181,298,219,222,286,221
PEQU_20965,8,0,0,0,0,0
PEQU_20964,0,0,4,2,4,5
PEQU_20967,0,0,0,0,0,0
PEQU_20966,214,120,289,119,96,76
PEQU_09212,1142,1592,981,1087,990,1036
PEQU_09213,408,758,384,97,61,40
PEQU_09210,128,90,49,23,26,8
PEQU_09211,229,172,110,2263,2335,1819
PEQU_09216,11,4,14,10,7,7
PEQU_09217,10,1,0,8,7,16
PEQU_09214,1393,1723,1479,1328,1595,1474
PEQU_09215,16,19,9,11,0,33
PEQU_09218,16,60,14,37,24,4
PEQU_25214,1045,1327,690,1764,1830,1595
PEQU_25215,415,487,284,258,263,258
PEQU_25217,0,0,0,0,0,0
PEQU_25211,43,74,45,345,335,313
PEQU_25212,1273,1296,624,1178,1103,1046
PEQU_25213,0,0,0,1,0,0
PEQU_00884,2892,4530,3045,499,497,586
PEQU_13795,360,455,619,1114,1142,762
PEQU_31088,663,553,652,504,621,620
PEQU_13796,2036,2288,1878,2618,2473,2253
PEQU_31082,820,1556,1523,2973,3185,2515
PEQU_31083,0,0,0,0,0,0
PEQU_31085,0,0,0,0,0,0
PEQU_31086,0,0,0,0,0,0
PEQU_28887,2928,5586,2456,1572,2234,1480
PEQU_28884,0,0,0,0,0,0
PEQU_28885,0,0,0,0,0,0
PEQU_28882,0,0,0,0,0,0
PEQU_28880,0,0,0,0,0,0
PEQU_28881,0,0,0,0,0,0
PEQU_28888,3227,3832,2422,1554,1433,1237
PEQU_28889,5335,5595,3282,3191,3137,2985
PEQU_10269,0,0,0,0,0,0
PEQU_10268,336,718,586,269,262,221
PEQU_10261,0,0,0,0,0,0
PEQU_10260,28,58,16,0,1,0
PEQU_10263,223,332,247,278,246,229
PEQU_10262,703,241,277,1700,2919,1326
PEQU_10265,783,1214,874,1305,1414,1215
PEQU_10267,0,0,0,0,0,0
PEQU_10266,1346,2146,1437,474,625,502
PEQU_18210,4622,7792,5370,6505,7096,6054
PEQU_18211,1032,1936,1804,3127,3431,2620
PEQU_18213,0,0,0,0,0,0
PEQU_18214,304,546,252,1161,1267,1072
PEQU_40608,0,5,2,35,55,60
PEQU_40609,0,0,0,0,0,0
PEQU_40606,0,0,0,0,0,0
PEQU_40607,5,56,0,0,0,0
PEQU_40604,0,0,7,0,0,0
PEQU_40605,75,155,129,156,142,162
PEQU_40602,2,5,2,1,0,0
PEQU_40600,0,0,0,0,0,0
PEQU_32060,0,0,0,0,0,0
PEQU_32067,451,938,576,182,300,328
PEQU_32066,0,0,0,0,0,0
PEQU_32065,92,270,72,0,12,9
PEQU_32064,2207,3441,1896,1024,780,764
PEQU_32069,0,0,0,0,0,0
PEQU_32068,6,4,0,0,0,0
PEQU_14808,2230,2430,2404,2448,2366,2206
PEQU_37150,0,0,0,0,1,0
PEQU_37152,0,0,0,0,0,0
PEQU_37154,1,12,8,4,7,5
PEQU_37155,0,0,0,0,0,0
PEQU_37158,364,332,239,423,377,278
PEQU_37159,0,0,1,1,4,0
PEQU_05430,2761,3984,3746,32324,33525,29779
PEQU_01513,0,0,0,0,0,0
PEQU_31871,0,0,0,0,0,0
PEQU_31870,0,0,0,0,0,0
PEQU_31873,270,241,147,193,215,140
PEQU_06571,15,11,26,31,38,34
PEQU_05434,10,10,4,33,29,44
PEQU_37844,2640,6759,2203,1118,1144,824
PEQU_37845,40,56,19,10,20,21
PEQU_37842,853,998,611,72,167,129
PEQU_05238,456,755,547,1078,1106,1088
PEQU_05230,0,0,0,0,0,0
PEQU_05231,12,26,27,8,14,14
PEQU_38391,0,1,0,1,0,0
PEQU_05234,0,0,0,0,0,0
PEQU_05235,1448,2076,1619,2201,1863,1869
PEQU_05236,819,1120,952,961,959,919
PEQU_05237,463,988,903,2093,2384,1757
PEQU_35570,73,127,43,230,244,203
PEQU_35571,73,31,83,4,0,4
PEQU_35572,0,0,0,0,0,0
PEQU_35573,0,0,0,0,0,0
PEQU_39448,415,438,318,670,654,538
PEQU_04548,4,6,37,10,18,6
PEQU_04541,0,0,0,1,2,4
PEQU_04540,183,404,154,729,973,653
PEQU_04543,0,0,0,4,1,3
PEQU_39443,2559,2512,1761,2863,3139,2774
PEQU_39444,0,0,2,2,7,5
PEQU_39445,0,0,0,0,0,0
PEQU_04547,0,0,0,7,0,0
PEQU_39447,0,3,3,0,5,0
PEQU_28149,0,0,0,0,0,0
PEQU_41216,242,274,196,218,189,192
PEQU_41217,41,93,36,96,92,130
PEQU_41214,197,180,138,972,856,710
PEQU_41212,128,287,276,460,580,496
PEQU_41213,0,0,0,0,0,0
PEQU_41210,1,4,2,2,3,0
PEQU_41211,61,42,56,22,13,17
PEQU_41218,0,0,0,0,0,0
PEQU_41219,66,144,101,173,176,169
PEQU_08318,152,48,119,2043,1857,1723
PEQU_08319,4236,1322,3289,85,83,128
PEQU_07168,161,156,128,144,142,140
PEQU_07169,3837,6748,3705,8305,8024,6696
PEQU_08310,0,0,0,0,0,0
PEQU_07167,184,320,286,495,354,308
PEQU_08312,1217,1569,1432,1924,2040,1753
PEQU_08313,126,232,81,547,545,558
PEQU_08314,264,474,241,134,155,182
PEQU_08315,154,235,220,250,329,266
PEQU_08316,9,26,4,0,11,14
PEQU_08317,4432,5593,3720,5886,5641,4561
PEQU_36009,0,0,0,0,0,0
PEQU_36008,0,0,0,0,0,0
PEQU_18498,0,0,0,0,0,0
PEQU_36000,0,0,0,0,0,0
PEQU_36005,26,15,19,43,36,51
PEQU_18494,0,0,0,0,0,0
PEQU_13860,152,53,20,199,318,169
PEQU_13866,513,1086,195,986,884,1100
PEQU_13867,311,473,315,293,329,301
PEQU_13864,525,840,731,2097,1929,1778
PEQU_13865,167,111,255,105,50,70
PEQU_13868,1025,1132,986,1343,1583,1316
PEQU_13869,0,0,0,0,0,0
PEQU_18724,65,86,37,384,554,435
PEQU_18725,935,1614,1854,3372,3854,3691
PEQU_18727,163,232,171,146,152,119
PEQU_18720,0,0,0,0,0,0
PEQU_18722,0,0,0,0,0,0
PEQU_18723,0,0,0,0,0,0
PEQU_03098,460,864,450,454,401,321
PEQU_03099,1327,2629,2015,1634,1708,1582
PEQU_03092,0,0,0,4,3,0
PEQU_03090,0,0,0,0,0,0
PEQU_03096,614,1202,574,234,223,182
PEQU_03097,13314,33169,20604,7880,8949,7786
PEQU_03094,5,0,0,0,0,0
PEQU_03095,0,0,0,0,0,0
PEQU_00678,15298,24250,13565,13693,15757,12502
PEQU_00677,505,533,294,314,326,286
PEQU_00676,0,0,0,0,0,0
PEQU_00674,1009,1459,1384,4920,5441,4994
PEQU_00673,679,884,555,893,963,722
PEQU_00672,71,83,35,68,96,74
PEQU_00671,0,0,0,0,0,0
PEQU_00670,0,3,0,13,25,14
PEQU_03328,975,2019,1631,2080,2533,2068
PEQU_03329,1291,1299,804,532,753,579
PEQU_03324,10046,16960,11305,10541,11597,10553
PEQU_03325,429,532,271,292,280,288
PEQU_03326,1232,1415,855,1261,1533,1342
PEQU_03320,0,3,0,0,0,0
PEQU_03321,6,13,12,58,37,27
PEQU_03322,521,746,612,146,108,125
PEQU_03323,1099,2056,1489,1230,1358,1053
PEQU_06783,2,0,3,4,2,3
PEQU_06785,3,3,1,0,0,0
PEQU_06784,15,4,7,36,40,69
PEQU_06787,0,0,0,0,0,0
PEQU_06786,87,107,66,209,275,280
PEQU_06789,0,0,0,0,0,0
PEQU_06788,0,0,0,0,0,0
PEQU_12099,0,0,0,0,0,0
PEQU_01788,0,0,0,0,4,0
PEQU_01789,0,0,0,0,0,0
PEQU_01784,262,245,221,1648,1769,1409
PEQU_01785,0,0,0,0,0,0
PEQU_12092,50,104,48,188,116,133
PEQU_01787,0,0,0,0,0,0
PEQU_12094,12,50,31,0,0,0
PEQU_01781,0,0,0,16,15,49
PEQU_12096,37,39,53,53,45,37
PEQU_12097,891,2558,909,520,646,608
PEQU_22958,474,692,614,864,1057,905
PEQU_22959,0,0,0,0,0,0
PEQU_22957,0,0,0,0,0,0
PEQU_22954,0,0,0,0,0,0
PEQU_22955,1890,1477,678,757,757,592
PEQU_22952,631,893,579,415,452,356
PEQU_22953,639,842,465,751,718,471
PEQU_22950,0,0,0,0,0,0
PEQU_22951,706,1150,804,1225,1545,1171
PEQU_17570,0,0,0,7,0,8
PEQU_17571,34,53,32,60,102,97
PEQU_01254,8,12,3,0,12,5
PEQU_17573,186,199,127,333,349,256
PEQU_17574,2283,4622,2283,1508,1882,1673
PEQU_01253,1052,862,912,2628,2373,2042
PEQU_01250,0,0,3,0,0,0
PEQU_01251,2,3,4,2,2,0
PEQU_17578,8,7,0,4,30,4
PEQU_17579,279,217,235,5850,9021,6668
PEQU_09988,0,0,0,0,0,0
PEQU_01259,0,1,0,38,65,19
PEQU_09989,9,21,17,4,8,19
PEQU_15301,383,474,383,2549,2995,2267
PEQU_23341,0,0,0,0,0,0
PEQU_07957,1046,2481,2849,1379,1547,1361
PEQU_07956,0,0,0,0,0,0
PEQU_07954,1859,3559,2409,4498,4588,3704
PEQU_07953,0,0,0,0,0,0
PEQU_07952,189,354,272,890,748,491
PEQU_23344,431,496,495,448,529,444
PEQU_23346,1043,1564,1101,1159,1457,1254
PEQU_15306,0,0,0,0,0,0
PEQU_15309,598,782,510,1194,795,942
PEQU_15308,998,1253,885,1558,1527,1305
PEQU_13053,848,1212,733,2424,2465,1895
PEQU_13052,0,0,0,0,0,0
PEQU_13051,98,132,127,328,277,252
PEQU_14002,874,1574,966,1191,1194,1021
PEQU_14005,790,924,948,1604,1581,1558
PEQU_13056,323,620,484,227,261,263
PEQU_14007,19,38,20,9,23,7
PEQU_13054,715,1121,695,858,875,683
PEQU_14009,1034,1505,1043,138,148,160
PEQU_14008,1776,2314,1230,174,152,184
PEQU_13059,2205,2898,1577,1169,1303,1217
PEQU_13058,0,0,0,0,0,0
PEQU_01210,366,206,124,226,186,65
PEQU_23331,13,5,0,4,8,7
PEQU_23330,81,45,62,89,110,88
PEQU_16719,0,0,0,0,0,0
PEQU_23332,27,18,14,2,11,7
PEQU_26123,1951,2119,1572,1805,2128,1613
PEQU_23334,50,61,53,94,111,70
PEQU_26121,1069,1389,819,545,532,474
PEQU_25426,3001,1725,1245,3474,4055,3286
PEQU_23339,19,16,12,24,51,6
PEQU_23338,12,4,0,0,0,0
PEQU_16717,1178,1709,1341,1191,1298,1450
PEQU_22433,643,855,498,701,946,687
PEQU_16715,863,1576,1246,4019,4295,4923
PEQU_16714,0,0,0,0,0,0
PEQU_17818,0,0,0,0,0,0
PEQU_25423,227,197,144,120,136,81
PEQU_25422,90,156,56,160,188,158
PEQU_22437,0,0,5,0,0,0
PEQU_17535,223,567,270,479,556,382
PEQU_21799,0,0,0,0,0,0
PEQU_22436,0,0,0,2,0,0
